,UNITID_P,INSTNM,BRANCH,Address,sector_cd,sector_desc,Total.678,Total.91011,Total.121314,Total.151617,allCrime6,allCrime7,allCrime8,allCrime9,allCrime10,allCrime11,allCrime12,allCrime13,allCrime14,allCrime15,allCrime16,allCrime17,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17
1,23819301,Alverno College,Alverno College,3400 S 43RD ST,2,"Private nonprofit, 4-year or above",2782,2605,2389,1942,2,0,1,5,1,1,0,2,2,4,5,5,0.000718907,0,0.000359454,0.001919386,0.000383877,0.000383877,0,0.00083717,0.00083717,0.002059732,0.002574665,0.002574665,0.718907261,0,0.35945363,1.919385797,0.383877159,0.383877159,0,0.837170364,0.837170364,2.059732235,2.574665294,2.574665294
2,23843001,Cardinal Stritch University,Main Campus,6801 N YATES RD,2,"Private nonprofit, 4-year or above",6242,5358,3811,2355,2,0,0,0,5,5,0,1,5,1,2,2,0.00032041,0,0,0,0.000933184,0.000933184,0,0.000262398,0.001311992,0.000424628,0.000849257,0.000849257,0.320410125,0,0,0,0.933184024,0.933184024,0,0.262398321,1.311991603,0.42462845,0.8492569,0.8492569
3,23910501,Marquette University,Main Campus,"PO BOX 1881, 615 N 11TH ST",2,"Private nonprofit, 4-year or above",11633,12002,11745,11426,15,37,29,25,42,29,27,26,30,25,15,18,0.001289435,0.003180607,0.002492908,0.002082986,0.003499417,0.002416264,0.002298851,0.002213708,0.002554278,0.002187992,0.001312795,0.001575354,1.289435227,3.180606894,2.492908106,2.082986169,3.499416764,2.416263956,2.298850575,2.213707961,2.554278416,2.187992298,1.312795379,1.575354455
5,23924801,Milwaukee Area Technical College,Milwaukee Campus,700 W STATE STREET,4,"Public, 2-year",18780,19480,16712,14012,4,36,23,17,5,3,7,5,6,4,10,3,0.000212993,0.001916933,0.001224707,0.00087269,0.000256674,0.000154004,0.000418861,0.000299186,0.000359023,0.00028547,0.000713674,0.000214102,0.212992545,1.916932907,1.224707135,0.872689938,0.256673511,0.154004107,0.418860699,0.299186213,0.359023456,0.285469597,0.713673994,0.214102198
6,23930901,Milwaukee Institute of Art & Design,Milwaukee Institute of Art & Design,273 E ERIE ST,2,"Private nonprofit, 4-year or above",669,727,622,660,0,0,0,2,0,0,2,1,0,2,1,3,0,0,0,0.002751032,0,0,0.003215434,0.001607717,0,0.003030303,0.001515152,0.004545455,0,0,0,2.751031637,0,0,3.215434084,1.607717042,0,3.03030303,1.515151515,4.545454545
7,23931801,Milwaukee School of Engineering,Main Campus,1025 N BROADWAY,2,"Private nonprofit, 4-year or above",2621,2486,2810,2823,2,6,1,3,1,1,2,0,3,3,1,3,0.000763068,0.002289203,0.000381534,0.001206758,0.000402253,0.000402253,0.000711744,0,0.001067616,0.001062699,0.000354233,0.001062699,0.763067531,2.289202594,0.381533766,1.206757844,0.402252615,0.402252615,0.711743772,0,1.067615658,1.062699256,0.354233085,1.062699256
8,23939001,Mount Mary College,Main Campus,2900 N. MENOMONEE RIVER PKY,2,"Private nonprofit, 4-year or above",1862,1738,1385,1399,1,1,1,3,1,0,1,5,3,3,3,2,0.000537057,0.000537057,0.000537057,0.001726122,0.000575374,0,0.000722022,0.003610108,0.002166065,0.002144389,0.002144389,0.001429593,0.537056928,0.537056928,0.537056928,1.726121979,0.575373993,0,0.722021661,3.610108303,2.166064982,2.144388849,2.144388849,1.429592566
9,23992901,Bryant and Stratton College-Milwaukee,Main Campus,310 W. WISCONSIN AVENUE SUITE 500,3,"Private for-profit, 4-year or above",828,1089,847,152,0,0,0,1,1,4,0,0,0,1,1,0,0,0,0,0.000918274,0.000918274,0.003673095,0,0,0,0.006578947,0.006578947,0,0,0,0,0.918273646,0.918273646,3.673094582,0,0,0,6.578947368,6.578947368,0
10,24033801,Wisconsin Lutheran College,Main Campus,8800 W BLUEMOUND RD,2,"Private nonprofit, 4-year or above",753,1022,1179,1114,3,3,1,0,3,3,3,13,4,2,2,3,0.003984064,0.003984064,0.001328021,0,0.002935421,0.002935421,0.002544529,0.011026293,0.003392706,0.001795332,0.001795332,0.002692998,3.984063745,3.984063745,1.328021248,0,2.935420744,2.935420744,2.544529262,11.02629347,3.392705683,1.795332136,1.795332136,2.692998205
11,24045301,University of Wisconsin-Milwaukee,Main Campus,PO BOX 413,1,"Public, 4-year or above",29215,29350,27596,24988,47,47,52,32,20,43,20,22,48,15,27,45,0.001608763,0.001608763,0.001779908,0.00109029,0.000681431,0.001465077,0.000724743,0.000797217,0.001739383,0.000600288,0.001080519,0.001800864,1.608762622,1.608762622,1.779907582,1.090289608,0.681431005,1.465076661,0.724742716,0.797216988,1.739382519,0.600288138,1.080518649,1.800864415
